Date;Name;Type;Open_price;Value;Close price;Reasons;Step;Step price;Delta;Total
04.02.2022;GDH2022;лонг;1807,00;1;1817,00;тейк;1;76,21;762,1;184459,47
07.02.2022;RIH2022;шорт;144470,00;1;144600,00;стоп;10;15,3;-198,9;184260,57
07.02.2022;RIH2022;шорт;144250,00;1;144800,00;закрыл вруную;10;15,3;-841,5;183419,07
07.02.2022;RIH2022;шорт;146300,00;1;146350,00;закрыл вруную;10;15,3;-76,5;183342,57
07.02.2022;BRH2022;лонг;93,26;10;92,00;стоп;0,01;7,55;-9508,8;173833,77
07.02.2022;BRH2022;лонг;93,26;10;92,00;стоп;0,01;7,55;-9508,8;164324,97
07.02.2022;BRH2022;лонг;93,47;10;92,00;стоп;0,01;7,55;-11093,6;153231,37
07.02.2022;BRH2022;лонг;93,47;10;92,00;стоп;0,01;7,55;-11093,6;142137,77
07.02.2022;BRH2022;лонг;92,80;10;92,00;стоп;0,01;7,55;-6037,34;136100,43
07.02.2022;RIH2022;лонг;144590,00;1;145040,00;закрыл вруную;10;15,3;688,5;136788,93
07.02.2022;SIH2022;шорт;76291,00;5;76212,00;закрыл вруную;1;1;395;137183,93
07.02.2022;SIH2022;шорт;76374,00;5;76212,00;закрыл вруную;1;1;810;137993,93
08.02.2022;SIH2022;шорт;76050,00;5;75893,00;закрыл вруную;1;1;785;138778,93
08.02.2022;SIH2022;шорт;76014,00;5;75893,00;закрыл вруную;1;1;605;139383,93
08.02.2022;SIH2022;шорт;75720,00;5;75676,00;закрыл вруную;1;1;220;139603,93
08.02.2022;RIH2022;лонг;147400,00;1;148250,00;закрыл вруную;10;15,3;1300,5;140904,43
08.02.2022;RIH2022;лонг;147400,00;1;148600,00;take;10;15,3;1836;142740,43
08.02.2022;RIH2022;лонг;147400,00;1;149600,00;закрыл вруную;10;15,3;3366;146106,43
08.02.2022;BRH2022;лонг;90,70;1;91,20;take;0,01;7,55;377,33;146483,76
08.02.2022;BRH2022;лонг;90,80;1;91,45;take;0,01;7,55;490,53;146974,29
